country,country_code,govt_health_exp,comp_educ,mmr,gdp,gdp_per_capita,private_health_exp,oop_health_exp,fertility_rate,sab,num_physicians,total_health_exp,rule_of_law,female_pop
India,IND,19.7877575,NA,116,2702929641707.38,1974.3777314935,37.64879148,30.71523129,2.177,NA,0.678,57.70291901,-0.000957082957029343,440078207
Indonesia,IDN,54.47545987,9,181,1042271532988.63,3902.661675559,56.98319786,39.88650726,2.234,93.6,0.425,111.91187286,-0.313785791397095,88692221
"Iran, Islamic Rep.",IRN,212.50402083,9,17,329691934144.504,3850.75125293224,250.09259522,165.77566312,1.968,NA,1.514,462.69403076,-0.712358295917511,29241447
Iraq,IRQ,109.1070801,6,72,227367469034.031,5601.46706102705,116.43687044,116.41027151,3.659,95.6,0.67,226.68745422,-1.80089974403381,11745458
Ireland,IRL,4065.23517923,NA,5,386693357874.056,79446.9391085469,1418.98327729,659.34672711,1.75,NA,3.302,5484.22119141,1.41238701343536,1603131
Isle of Man,IMN,NA,NA,NA,7491654051.07858,89425.8913885835,NA,NA,1.621,NA,NA,NA,NA,26522
Israel,ISR,2082.00685773,15,3,376691526553.276,42406.8454263606,1093.05607038,703.08117118,3.09,NA,3.499,3219.68896484,0.960281312465668,2669601
Italy,ITA,2217.87267491,12,5,2091932426266.98,34622.1696664741,784.88844766,707.17865335,1.29,99.9,4.013,3002.76123047,0.240896880626678,19343107
Jamaica,JAM,217.55883592,6,91,15730792835.5811,5594.49357290917,111.31488802,56.01634045,1.388,99.7,0.55,333.87869263,-0.217798143625259,1010755
Japan,JPN,3592.09517323,9,5,5040880939324.86,39751.1330982711,695.90117094,557.20659297,1.42,99.9,2.498,4287.99609375,1.49416756629944,36872983
Jordan,JOR,157.43699828,10,42,43370860704.2254,4146.40731063215,150.36353079,99.68090013,2.973,99.7,NA,322.12417603,0.231556087732315,3094375
Kazakhstan,KAZ,165.84328838,9,14,179339977690.485,9812.62543137393,106.3381486,91.24108963,2.84,99.9,3.931,272.60354614,-0.503434121608734,6087722
Kenya,KEN,32.61632539,12,512,92202979985.2863,1845.7834137515,26.28071891,17.67783464,3.58,NA,0.161,75.6592865,-0.427653700113297,14409591
Kiribati,KIR,142.54068883,9,110,196501525.688652,1607.22982544435,5.11883222,0.1650205,3.41,NA,NA,191.5933075,0.576801478862762,38478
"Korea, Dem. People's Rep.",PRK,NA,12,107,NA,NA,NA,NA,1.845,NA,NA,NA,-1.64309453964233,8893143
"Korea, Rep.",KOR,1472.36899478,9,6,1725373496825.43,33447.1562836166,1046.36124806,818.62535663,0.977,NA,2.385,2518.73022461,1.199627161026,18296178
Kosovo,XKX,NA,NA,NA,7878759714.82322,4384.18868045931,NA,NA,1.605,NA,NA,NA,-0.383673995733261,603006
Kuwait,KWT,1465.47848716,9,7,138202535799.918,32012.1875249538,195.50792993,176.84580934,2.165,99.9,NA,1660.9864502,0.185752928256989,1196805
Kyrgyz Republic,KGZ,32.22486594,10,54,8271106235.41552,1308.13978544561,31.07003738,31.0430783,3.3,99.8,NA,66.58773804,-0.928147077560425,2018638
Lao PDR,LAO,22.19453928,9,165,18141651381.3884,2553.36186646266,28.02030704,27.84410966,2.619,NA,0.362,57.35622025,-0.863172948360443,2247424
Latvia,LVA,657.76699444,11,23,34429023435.0211,17865.0310947642,441.9121346,433.34919807,1.6,NA,3.289,1101.49255371,0.923249125480652,627178
Lebanon,LBN,344.54841174,10,18,54901519155.5556,9225.84515486901,392.92870861,262.85236521,2.148,NA,2.425,745.14544678,-0.782223165035248,1969938
Lesotho,LSO,58.31049059,7,599,2556247291.99785,1162.97885412072,17.93459807,17.42513692,3.139,86.6,0.454,122.02838135,-0.366134911775589,677108
Liberia,LBR,11.26357128,6,684,3422754800,700.037039377706,34.0532896,28.54093642,4.336,NA,0.05,65.74718475,-1.00145649909973,1348112
Libya,LBY,NA,9,69,76686048497.4801,11838.2987072109,NA,NA,2.581,NA,NA,NA,-1.69031953811646,2068957
Liechtenstein,LIE,NA,9,NA,6692620691.84146,175286.679024684,NA,NA,1.58,NA,NA,NA,1.63483166694641,12943
Lithuania,LTU,824.25903927,11,8,53751411409.4447,19186.359591641,420.86381047,393.64190235,1.63,100,4.479,1249.03100586,0.923340857028961,923947
Luxembourg,LUX,5288.11180257,12,7,71000359760.4611,116786.511654677,851.02742652,652.22670476,1.38,NA,NA,6227.08398438,1.76834964752197,206751
"Macao SAR, China",MAC,NA,10,NA,55190661339.7796,84779.4536941057,NA,NA,1.104,NA,NA,NA,0.971920669078827,266065
Madagascar,MDG,7.70671249,5,423,13760033282.2925,512.543991506858,7.71751957,6.34580393,4.043,46.1,0.195,21.88955688,-0.836624085903168,7585551
Malawi,MWI,9.03685351,8,392,9880675785.93057,537.932204050438,6.7008842,4.73940727,4.14,NA,0.15,36.9756279,-0.405376076698303,4994038
Malaysia,MYS,213.39262372,6,22,358788845712.53,11073.9789704691,202.92738372,152.54207372,1.881,99.6,1.888,416.32000732,0.529128134250641,10929916
Maldives,MDV,622.04568694,7,49,5404344159.49959,11034.7235971635,173.33637099,159.20266253,1.784,NA,1.799,804.87316895,-0.55726546049118,145650
Mali,MLI,9.85823548,9,440,17070867589.9055,856.356596550603,10.91941152,10.40525896,6.183,67.3,0.123,31.96352005,-0.815356373786926,4868328
Malta,MLT,1747.86846899,11,4,15404393365.2073,31785.8848300917,1005.19363195,944.33425023,1.23,99.7,NA,2753.51098633,1.01952743530273,155077
Marshall Islands,MHL,354.69584031,13,NA,219430038.452148,4771.35920442167,39.57469678,8.03576355,2.877,NA,NA,736.77416992,0.163996770977974,13855
Mauritania,MRT,23.18347255,9,461,7473550557.07378,1749.95423645373,30.47629053,27.16755223,4.607,NA,0.192,59.15095139,-0.707490384578705,1197316
Mauritius,MUS,282.231918,11,50,14735695930.9727,11643.4605962124,356.89265451,309.81896563,1.41,99.8,1.849,642.32983398,0.709945678710938,449312
Mexico,MEX,263.35166736,14,56,1256300182983.65,10130.3206984553,267.2961897,224.51391274,1.996,NA,2.467,530.64788818,-0.641823947429657,42190032
"Micronesia, Fed. Sts.",FSM,111.14366847,8,69,401932300,3623.32933678299,10.17971892,10.17971892,2.84,NA,NA,422.44638062,0.0350411422550678,34666
Moldova,MDA,156.27829497,13,14,11253727815.4762,4156.95750022299,112.68105184,110.85022584,1.809,99.7,NA,276.47143555,-0.433740764856339,947698
Monaco,MCO,2658.09922758,11,NA,7182444409.54069,193968.090133158,443.25512615,236.64873351,NA,NA,NA,3101.35424805,1.53662586212158,9735
Mongolia,MNG,92.0482432,12,42,13178094720.4986,4165.02282101895,57.63629228,54.1181882,2.923,99.3,3.859,158.25061035,-0.278373807668686,1035782
Montenegro,MNE,433.09112075,9,5,5506942238.35668,8850.3749248372,294.18568166,288.07316941,1.76,98.8,2.74,727.25811768,0.00317244976758957,208294
Morocco,MAR,70.44567923,9,78,127341147581.818,3492.67260742188,104.51275395,82.35392793,2.415,86.6,NA,175.27603149,-0.248697802424431,11766121
Mozambique,MOZ,9.11716322,NA,160,15017358750.6113,510.379996498468,6.25596722,3.87554402,4.852,NA,0.084,40.8117218,-1.06734263896942,8051051
Myanmar,MMR,8.95329839,5,215,67855845007.3168,1288.41808699092,46.15748274,46.15662752,2.213,NA,0.69,60.37779236,-1.04310393333435,17999213
Namibia,NAM,220.09914492,7,218,13682018827.0434,5687.38104280011,230.80544554,38.16561807,3.462,NA,0.601,472.99014282,0.329466938972473,746921
Nauru,NRU,1035.53488493,14,NA,130995566.30391,10985.8743965037,35.0659302,8.76648239,3.67,NA,NA,1175.68676758,-0.0620704852044582,3487
Nepal,NPL,11.87744474,9,201,33111525183.2178,1161.5343496373,31.69856829,29.09285005,2.104,NA,0.738,50.39901352,-0.491404861211777,9651645
Netherlands,NLD,3503.80293066,13,4,914043438179.607,53044.5324352253,1825.48304527,575.24917561,1.59,NA,3.661,5330.66064453,1.74473142623901,5574186
New Caledonia,NCL,NA,0,NA,9896402283.68587,36495.1959423457,NA,NA,2.06,NA,NA,NA,NA,91043
New Zealand,NZL,2961.71051721,10,8,211886686924.483,43236.8866923404,996.29362046,511.08847417,1.71,96.4,3.353,3957.86132813,1.83372128009796,1621621
Nicaragua,NIC,102.61599609,7,74,13025234958.647,1981.85836665362,58.82006533,55.85550047,2.404,NA,0.664,168.44512939,-1.07868373394012,2147861
Niger,NER,10.02233736,NA,432,12837307496.8797,568.599659746618,16.51080062,14.73055759,7.023,NA,0.036,30.08619118,-0.605169057846069,5377669
Nigeria,NGA,10.57700424,9,1135,421739251509.08,2125.83449073877,50.41536473,49.89845423,5.447,43.3,0.376,65.70272827,-0.917747616767883,52199874
