Country Name,comp_qual_log,ship_freq,track_trace_log,infra_qual,log_perf_ind,customs_eff,comp_priced_ship,rule_of_law,political_stability,corr_control,voice_account,govt_eff,reg_qual,legal_rights_ind,food_imp,credit_bureau_covg,fem_sec_educ,fem_prim_educ,prim_compl_fem,enroll_sec_fem_gross,fem_prim_teachers,pupil_teach_ratio_prim,emp_to_pop_ratio_15_plus,external_bal_goods,consump_exp,account_balance,export_good_services,external_health_exp,out_of_pocket_health_exp,dom_govt_health_exp,crop_prod_ind,food_prod_ind,repeaters_female_prim,export_val_ind,goods_exports,goods_imports,mmr,gdp,women_hiv,skilled_health_staff
Mauritius,2.86,3,3,2.8,2.73,2.7,2.12,0.709945678710938,0.859399259090424,0.186878189444542,0.738156199455261,0.894913613796234,1.04394924640656,6,21.0041126642229,0,51.98934,49.72,98.188720703125,95.9042892456055,78.9483184814453,16.19841,40.89,-5.89464590328509,87.0218199489248,-3.7690312029837,46.0962669509066,0.49901187,48.2336235,10.2022686,82,89.19,0.00673,88.8757275762,2365715959.07508,5380746637.59276,50,14735695930.9727,40.5,99.8
Mexico,3.02,3.53,3,2.85,3.05,2.77,3.1,-0.641823947429657,-0.673981010913849,-0.948684394359589,-0.00858165230602026,-0.292913615703583,0.0843754634261131,10,5.48103866403056,100,NA,NA,102.486167907715,110.51097869873,67.4076080322266,NA,42.06,-2.04428077097415,76.3472890063651,-2.13816698285651,39.2575517289021,NA,42.30939865,10.41115475,113.02,110.48,NA,118.43711598,451082234752,464849865242,56,1222405556421.13,19,NA
"Micronesia, Fed. Sts.",NA,NA,NA,NA,NA,NA,NA,0.0350411422550678,1.31512069702148,0.672230362892151,1.12343680858612,0.163868218660355,-0.923807919025421,10,NA,0,NA,NA,89.7265930175781,NA,66.890754699707,NA,NA,-29.9020009091083,NA,NA,35.4747304458985,71.28076172,2.40970683,5.52872467,100.53,101.12,NA,118.1806696659,NA,NA,69,401932300,NA,NA
Moldova,2.3,3.17,2.21,2.02,2.46,2.25,2.69,-0.433740764856339,-0.402226477861404,-0.746429085731506,-0.109600901603699,-0.501230299472809,-0.0323153994977474,8,12.6922468037104,15.8,49.82607,48.30349,101.120910644531,95.4011535644531,98.1839065551758,17.92314,65.69,-26.0540475415259,99.4622368711788,-10.7686094765277,30.6963699430194,2.71713424,40.09463882,12.02570248,128.98,121.4,0,137.5889770067,1975050000,5269050000,14,11253727815.4762,34.8,99.7
Monaco,NA,NA,NA,NA,NA,NA,NA,1.53662586212158,1.57725429534912,1.78090953826904,0.640359580516815,1.87926542758942,1.18732905387878,NA,NA,NA,50.09622,49.8738,NA,NA,83.4196929931641,11.38506,NA,NA,NA,NA,NA,NA,7.6304965,6.64792919,NA,NA,2.73279,NA,NA,NA,NA,7194256778.2745,NA,NA
Mongolia,2.21,3.06,2.1,2.1,2.37,2.22,2.49,-0.278373807668686,0.831077039241791,-0.448486506938934,0.244647413492203,-0.246496841311455,0.00820671487599611,9,11.408061044491,0,NA,48.8393,98.447868347168,92.8467025756836,94.9794845581055,30.38318,49.64,-10.0263086878745,70.64838117472,-14.4368935880334,58.1647822763909,5.41298103,34.19777679,7.78027391,106.26,126.34,0.0489,150.1681194565,6556543073.88981,5871288932.51583,42,13178094719.8612,19.7,99.3
Montenegro,2.72,3.33,2.58,2.57,2.75,2.56,2.68,0.00317244976758957,0.0375925563275814,-0.0145488446578383,0.0619072541594505,0.0906900018453598,0.391958713531494,12,20.9967877364776,0,49.77254,46.50275,94.9813079833984,89.8832931518555,NA,NA,40.82,-23.859296223781,91.944445040134,-17.1244081846821,42.8750002680603,NA,39.6108551,10.53136349,104.27,101.1,0.31199,NA,514288536.822923,2928206572.14359,5,5506944403.30196,12.1,98.8
Morocco,2.49,2.88,2.51,2.43,2.54,2.33,2.58,-0.248697802424431,-0.348556756973267,-0.289577841758728,-0.675675570964813,-0.349293291568756,-0.259155303239822,2,10.83020498328,29,47.71739,47.60808,91.8396530151367,75.1792907714844,57.1685409545898,26.80065,NA,-9.59801277905553,77.4584454798504,-4.87290185287995,33.8284373726717,0.18119994,46.98527527,7.18196535,116.63,115.69,7.59632,128.0948146105,24619714761.3292,44872285913.3977,78,127341141871.205,48.7,86.6
Mozambique,NA,NA,NA,NA,NA,NA,NA,-1.06734263896942,-0.833329558372498,-0.808722257614136,-0.484441161155701,-0.960750162601471,-0.796630501747131,1,15.9310035112121,0,48.80982,48.10345,51.7164688110352,30.0714225769043,45.7130088806152,55.27379,NA,-37.4641511117155,87.416328404478,-32.1980429370295,44.8700028830136,62.33158112,9.49615479,5.76476336,138.29,133.88,8.16305,146.847027372,5012287397.41507,6312901340.76377,160,14845400592.6712,62.6,NA
Myanmar,2.28,2.91,2.2,1.99,2.3,2.17,2.2,-1.04310393333435,-1.26694679260254,-0.612783849239349,-0.900316596031189,-1.09122586250305,-0.750430941581726,2,13.0579466291119,0,51.96351,48.55953,105.002029418945,80.4303436279297,80.2630081176758,24.3599,48.81,-5.72948029673415,74.2170117400104,-3.81438530630087,28.3597133642041,8.72342968,76.44635773,3.45481491,98.79,80.24,NA,145.3669676346,11075561646.0452,15207448752.5203,215,67144726167.9294,39.1,NA
