Country Name,MMR,GDP,fertility_rate,SAB,private_health_exp,govt_health_exp,tertiary_school_enroll,female_pop,num_physicians
Panama,47,67294169234.6291,2.441,92.9,514.72780263,712.32536963,NA,1346771,1.6055
Papua New Guinea,199,24109780113.2307,3.382,56.4,5.70723671,41.74199862,NA,2777658,0.0699
Paraguay,70,40225448651.3062,2.561,97.7,231.66530262,189.14869046,NA,2066774,1.3544
Peru,63,222597030191.041,2.26,93.7,139.20359493,223.49862066,NA,10509834,1.3694
Philippines,82,346841896890.489,2.831,NA,76.83746072,49.08064671,33.4184646606445,33914892,NA
Poland,2,588779850763.487,1.46,99.8,282.41666361,695.74820078,85.9320526123047,12829860,NA
Portugal,11,242313116577.963,1.42,99.9,859.29070956,1355.4599458,70.8061218261719,3431202,5.3117
Puerto Rico,18,100958100000,1.035,NA,NA,NA,117.870948791504,1082959,NA
Qatar,6,183334953818.681,1.848,100,494.18661141,1661.64479719,65.8024673461914,510222,2.4852
Romania,11,243316050520.725,1.76,93.1,139.55613935,547.59798255,57.525390625,6426950,NA
Russian Federation,9,1657328764645.93,1.579,99.7,247.05168787,362.2992282,90.6679611206055,50892306,4.1165
Rwanda,281,9636510839.30707,3.994,NA,13.33781527,18.01813632,5.7916898727417,3694266,0.134
Samoa,58,878448439.453724,4.109,NA,27.03036971,153.51854007,18.1092014312744,58461,NA
San Marino,NA,1655354303.82885,NA,NA,471.38140806,3643.68654428,37.5155296325684,11663,NA
Sao Tome and Principe,149,412253809.728799,4.044,NA,20.81147177,55.04549744,NA,57769,NA
Saudi Arabia,17,846583785179.856,2.546,99.4,383.48457553,907.6440483,NA,9773698,2.6117
Senegal,277,23116701539.5646,4.584,74.2,35.75557848,16.60759529,10.5988302230835,4366296,NA
Serbia,11,50640662859.4987,1.49,NA,246.5103626,366.35212617,77.0049819946289,2314749,NA
Seychelles,4,1587813245.28225,2.41,NA,204.26434805,584.25760364,20.5597095489502,30789,2.4717
Sierra Leone,460,4085114542.06831,4.294,NA,26.64660569,3.9944413,NA,2209883,0.074
